Countries and areas,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math
Afghanistan,22,25,13,11,0,0
Albania,0,0,0,0,48,58
Algeria,0,0,0,0,21,19
Andorra,0,0,0,0,0,0
Angola,0,0,0,0,0,0
Anguilla,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0
Argentina,76,71,46,56,48,31
Armenia,0,0,0,55,0,50
Australia,94,70,0,64,80,78
Austria,0,0,98,0,76,79
Azerbaijan,0,0,81,0,0,0
The Bahamas,0,0,0,0,0,0
Bahrain,69,40,0,0,0,39
Bangladesh,47,34,44,32,54,57
Barbados,0,0,0,0,0,0
Belarus,0,0,0,0,77,71
Belgium,0,0,0,0,79,80
Belize,0,0,0,0,0,0
Benin,9,34,23,11,0,0
Bhutan,0,0,0,0,56,0
Bolivia,0,0,0,0,0,0
Bosnia and Herzegovina,0,0,0,0,46,42
Botswana,0,0,0,16,0,0
Brazil,80,71,53,52,50,32
British Virgin Islands,0,0,0,0,0,0
Brunei,0,0,0,0,48,52
Bulgaria,0,0,95,75,53,56
Burkina Faso,36,59,21,22,0,0
Burundi,79,97,7,40,0,0
Cape Verde,0,0,0,0,0,0
Cambodia,0,0,50,0,8,10
Cameroon,30,57,24,12,0,0
Canada,96,69,0,0,86,84
Central African Republic,0,0,0,0,0,0
Chad,18,48,3,3,0,0
Chile,94,90,70,75,68,28
China,82,85,0,0,80,79
Colombia,79,64,55,48,50,35
Comoros,0,0,0,0,0,0
Republic of the Congo,38,72,17,6,0,0
Cook Islands,0,0,0,0,0,0
Costa Rica,89,84,68,60,58,40
Ivory Coast,17,33,22,3,0,0
Croatia,0,0,0,67,78,69
Cuba,0,0,0,0,0,0
Cyprus,0,74,0,0,56,63
Czech Republic,97,78,0,0,79,80
North Korea,94,0,0,0,0,0
Democratic Republic of the Congo,0,0,0,0,0,0
Denmark,97,80,0,0,84,85
Djibouti,0,0,0,0,0,0
Dominica,0,0,0,0,0,0
Dominican Republic,44,25,21,12,21,9
Ecuador,74,65,38,48,49,29
Egypt,0,0,0,0,0,21
El Salvador,0,0,0,0,0,0
Equatorial Guinea,0,0,0,0,0,0
Eritrea,0,0,0,0,0,0
Estonia,0,0,0,0,89,90
Eswatini,0,0,0,0,0,0
Ethiopia,0,0,0,0,0,0
Fiji,0,0,0,0,0,0
Finland,98,82,0,0,86,85
France,0,0,94,58,79,79
Gabon,0,0,0,0,0,0
The Gambia,5,0,0,0,0,0
Georgia,86,47,0,0,36,39
Germany,0,0,95,77,79,79
Ghana,0,0,0,0,0,0
Greece,0,0,0,0,69,64
Grenada,0,0,0,0,0,0
Guatemala,68,52,36,34,30,11
Guinea,0,0,0,0,0,0
Guinea0Bissau,0,0,0,0,0,0
Guyana,0,0,0,0,0,0
Haiti,0,0,0,0,0,0
Vatican City,0,0,0,0,0,0
Honduras,70,57,31,32,30,15
Hungary,0,0,97,75,75,67
Iceland,0,0,0,0,74,79
India,47,53,46,44,0,0
Indonesia,0,18,0,0,30,28
Iran,66,33,0,0,0,34
Iraq,0,0,0,0,0,0
Republic of Ireland,98,84,0,0,88,84
Israel,91,0,0,0,69,66
Italy,98,69,0,0,77,62
